민원ID,접수일,접수채널,행정동,주소,위도,경도,반복지점,반복여부,민원내용,처리상태,처리일,처리기간,담당부서,신고자연락처,신고자생년
M0136,2026-05-02,홈페이지,바다동,바다동 바다동 일원,37.564709,127.065114,,N,대형폐기물 무단배출 신고합니다.,완료,2026-05-04,2,청소행정과,010-5288-5802,19611224-1******
M0149,2026-07-22,앱,새벽동,새벽동 새벽역 2번출구 뒤편,37.544474,127.052073,새벽역 2번출구 뒤편,Y,통이 넘쳐서 뚜껑이 안 닫힙니다 냄새도 나요,완료,2026-07-28,6,주민생활지원과,010-2570-5473,19690811-1******
M0098,2026.07.28,전화,마루동,세종특별자치시 한빛구 마루동 8로 43,37.550012,127.035082,마루경로당 앞,Y,음식물쓰레기가 봉투째 터져 있습니다.,완료,2026.08.05,8,환경관리과,010-4421-8241,19750120-1******
M0047,2026/06/26,홈페이지,가온동,한빛구 가온동 324-14,37.553778,127.049718,,N,배출일 아닌 날에 나온 쓰레기입니다. 확인 부탁드립니다.,완료,2026/07/08,12,환경관리과,010-6317-1526,19970601-2******
M0175,2026/07/20,홈페이지,나래동,세종특별자치시 한빛구 나래동 26로 78,37.554728,127.051656,,N,분리수거함 관리가 안 되는 것 같습니다. 주 2회로는 부족합니다.,완료,2026/07/26,6,청소행정과,010-7740-3028,19750119-1******
M0089,2026/07/05,전화,다솜동,한빛구 다솜동 299-7,37.545275,127.057251,,N,지난번 신고 이후 한 주도 안 돼서 원상복구됐습니다.,완료,2026/07/13,8,환경관리과,010-8602-3546,19810811-2******
M9143,2026-07-24,방문,나래동,나래동 나래아파트 상가,,,나래아파트 상가,Y,매장 정리하면서 나온 진열대랑 박스를 길에 내놨네요.,보류,,,청소행정과,010-7016-6936,19710118-1******
M0037,2026-07-03,국민신문고,가온동,한빛구 가온동 272-51,37.552903,127.049011,가온시장 뒷골목,Y,상가 뒷문에 매일 아침 박스가 쌓입니다. 수거 계약을 안 한 것 같습니다.,완료,2026-07-18,15,청소행정과,010-6049-3963,19650310-1******
M0016,2026-08-16,국민신문고,가온동,가온동 가온동 일원,37.552159,127.049859,,N,일반 쓰레기랑 음식물을 같이 담아서 내놨네요. 분리가 안 돼 있습니다.,완료,2026-08-23,7,주민생활지원과,010-3044-5468,19760904-1******
M0193,2026-05-06,홈페이지,라온동,세종특별자치시 한빛구 라온동 4로 8,37.561587,127.043981,,N,분리배출 전혀 안 하고 한 봉투에 다 섞어서 내놨습니다. 유리도 섞여 있어서 위험해 보입니다.,완료,2026-05-11,5,환경관리과,010-8089-3817,19821213-2******
M0010,260618,전화,가온동,세종특별자치시 한빛구 가온동 22로 69,37.556751,127.039613,,N,치워도 소용없어요. 근본적으로 뭔가 조치가 있어야 합니다. 계도장 붙여도 그때뿐입니다.,완료,260623,5,청소행정과,010-9194-4052,19621015-2******
M0194,2026.07.19,전화,라온동,라온동 라온동 일원,37.567314,127.039857,,N,분명히 내놨는데 안 가져갔어요 왜그런지 알려주세요,완료,2026.07.22,3,주민생활지원과,010-7119-3559,19670714-2******
M0044,2026/08/19,전화,가온동,가온동 가온동 일원,37.548216,127.046075,,N,다른 집 건 가져가고 저희 골목만 빠뜨렸어요.,완료,2026/09/01,13,주민생활지원과,010-3931-1182,19630122-2******
M0199,2026.08.04,전화,라온동,세종특별자치시 한빛구 라온동 26로 16,37.564464,127.041715,라온천 산책로 입구,Y,누가 버린 건지 수거가 늦은 건지 알 수 없습니다.,완료,2026.08.12,8,청소행정과,010-9306-4358,19671208-1******
M0153,2026-07-17,전화,새벽동,한빛구 새벽동 383-30,37.544388,127.051273,새벽역 2번출구 뒤편,Y,이 자리는 늘 쓰레기가 있습니다. 주민들 사이에서도 유명합니다.,완료,2026-07-22,5,환경관리과,010-2010-8050,19621218-2******
M0122,2026/05/08,국민신문고,바다동,한빛구 바다동 540-42,37.561776,127.066389,바다공원 북측 출입로,Y,명절 연휴 끝나고 나서 한 번도 안 왔습니다. 쌓여만 갑니다. 언제 오시는지만 알려주셔도 좋겠습니다.,완료,2026/05/11,3,환경관리과,010-3544-8655,19950213-1******
M0169,2026-07-09,전화,새벽동,새벽동 새벽역 2번출구 뒤편,37.545084,127.051869,새벽역 2번출구 뒤편,Y,배달 포장재가 엄청나게 나왔습니다. 가게에서 버린 것 같아요.,완료,2026-07-15,6,청소행정과,010-2566-3237,19810717-1******
M9785,260729,방문,새벽동,한빛구 새벽동 300-20,37.54626,127.053679,,N,수거함이 꽉 차서 더 넣을 데가 없습니다. 그래서 다들 옆에 쌓아둡니다.,완료,260809,11,주민생활지원과,010-6261-8365,19920425-2******
M0071,260716,앱,다솜동,한빛구 다솜동 691-18,37.55383,127.062118,,N,관리실 박정호 주임한테 두 번 말했는데 안 치웠어요. 010-5512-7744 로 연락하면 된다고 합니다.,보류,,,청소행정과,010-4747-7692,19940424-1******
M0052,2026-07-04,방문,가온동,한빛구 가온동 428-30,37.551392,127.04734,가온로 12길 일대,Y,리모델링 하면서 나온 폐자재를 안 치우고 갔습니다.,완료,2026-07-12,8,청소행정과,010-7878-3605,19831012-2******
M0183,2026/07/01,홈페이지,나래동,나래동 나래동 일원,37.556416,127.058417,,N,안내대로면 오늘이 아닌데요. 벌써 여러 봉투가 나와 있습니다.,완료,2026/07/06,5,주민생활지원과,010-7297-6266,19950312-1******
M0185,2026-07-24,방문,나래동,나래동 나래아파트 상가,,,나래아파트 상가,Y,매장 정리하면서 나온 진열대랑 박스를 길에 내놨네요.,보류,,,청소행정과,010-7016-6936,19710118-1******
M0134,2026.06.02,전화,바다동,한빛구 바다동 501-55,37.562292,127.067282,바다공원 북측 출입로,Y,수거일 아침에 내놨는데 저녁까지 그대로입니다.,완료,2026.06.08,6,주민생활지원과,010-7638-4490,19831026-2******
M0177,260608,홈페이지,,한빛구 나래동 180-9,37.563702,127.056458,,N,상가에서 나온 것 같은 박스랑 스티로폼이 산더미입니다.,완료,260619,11,청소행정과,010-9501-9101,19910806-1******
M0065,2026/05/10,앱,다솜동,한빛구 다솜동 334-30,37.546525,127.060715,,N,상가 건물 옆에 폐기물이 쌓여 있는데 사업장에서 나온 것으로 보입니다. 양이 상당합니다. 수거 체계를 확인해 주시면 좋겠습니다.,완료,2026/05/20,10,청소행정과,010-2472-6610,20020114-2******
M0192,2026/08/13,국민신문고,라온동,한빛구 라온동 672-55,37.570955,127.046792,,N,또 버렸네요. 이제 놀랍지도 않습니다.,완료,2026/08/20,7,청소행정과,010-6164-7925,19910218-1******
M0076,2026-08-09,앱,다솜동,세종특별자치시 한빛구 다솜동 7로 17,37.545667,127.059098,다솜빌라 주차장,Y,공사 자재 잔해가 보도블록 위에 있습니다. 통행 불편합니다.,처리중,,,청소행정과,010-4001-9980,19771114-1******
M0117,2026.08.17,홈페이지,마루동,세종특별자치시 한빛구 마루동 33로 67,37.54823,127.03352,마루골목 상가 뒤,Y,오늘 아침 6시에 차 지나가는 소리 들었는데 우리 쪽은 안 왔습니다.,완료,2026.08.18,1,주민생활지원과,010-6256-3461,19600616-2******
M0024,2026-07-23,홈페이지,가온동,가온동 가온로 12길 일대,37.552091,127.047042,가온로 12길 일대,Y,플라스틱 통만 항상 먼저 찹니다. 다른 통은 여유가 있는데요.,완료,2026-07-28,5,청소행정과,010-8221-7410,19610719-2******
M0135,2026.05.01,홈페이지,바다동,세종특별자치시 한빛구 바다동 30로 56,37.55943,127.072706,,N,공사 끝난 지 한참인데 자재가 그대로 있어요,보류,,365,환경관리과,010-5742-6634,19710926-1******
M0040,2026/07/04,홈페이지,가온동,가온동 가온로 12길 일대,37.551267,127.046843,가온로 12길 일대,Y,여기 좀 봐주세요,완료,2026/07/13,9,환경관리과,010-7773-4667,19910412-2******
M0055,2026-06-26,앱,다솜동,다솜동 다솜중학교 후문,37.547164,127.0615,다솜중학교 후문,Y,함이 넘쳐서 어디다 버려야 할지 모르겠어요,완료,2026-04-02,365,청소행정과,010-8671-6366,19720927-2******
M0068,260623,홈페이지,다솜동,한빛구 다솜동 802-58,,,다솜중학교 후문,Y,차가 오긴 왔는데 뒷골목은 안 들어옵니다. 좁아서 그런가요.,처리중,,,환경관리과,010-2244-7057,19680228-2******
M0174,2026-07-16,홈페이지,나래동,한빛구 나래동 163-48,37.558515,127.056671,나래아파트 상가,Y,여기는 상습 투기 지점입니다. 치우면 하루 이틀 만에 또 쌓입니다.,완료,2026-07-17,1,주민생활지원과,010-3992-3640,20030509-2******
M0088,2026.07.17,앱,다솜동,세종특별자치시 한빛구 다솜동 14로 51,37.546281,127.061387,다솜중학교 후문,Y,주택가 담벼락 아래 쓰레기더미. 사진 있습니다.,완료,2026.07.26,9,환경관리과,010-3963-1444,19890119-2******
M0172,2026.07.23,앱,나래동,나래동 나래동 일원,37.559703,127.05959,,N,여기 진짜 몇 번을 말해야 합니까. 매번 똑같습니다.,완료,2026.07.28,5,환경관리과,010-7953-8542,19960805-1******
M0070,2026-08-18,홈페이지,다솜동,한빛구 다솜동 864-21,37.545963,127.05971,다솜로 3길 원룸촌,Y,가구가 인도를 막고 있어서 휠체어가 못 지나갑니다. 빠른 조치 부탁드립니다.,완료,2026-08-24,6,주민생활지원과,010-7019-5086,19810224-1******
M9216,2026.08.15,방문,마루동,세종특별자치시 한빛구 마루동 27로 63,37.550115,127.03487,마루경로당 앞,Y,음식물 전용 용기를 안 쓰면 수거가 안 된다고 들었는데 계속 이렇게 버립니다.,처리중,,,환경관리과,010-3820-5673,19751115-2******
M0130,260615,전화,바다동,바다동 바다동 일원,37.561296,127.063981,,N,여기 음식물 계속 버리는 집이 있는 것 같아요. 매주 같은 요일에 그럽니다.,완료,2026-04-02,7,청소행정과,010-5311-5194,19840218-2******
M0107,2026-08-17,앱,마루동,세종특별자치시 한빛구 마루동 27로 83,37.550112,127.034921,마루경로당 앞,Y,어제 말씀드린 그 건입니다.,처리중,,,환경관리과,010-9511-6901,19580217-1******
M0109,2026/07/26,방문,마루동,세종특별자치시 한빛구 마루동 25로 73,37.549563,127.035041,마루경로당 앞,Y,가게에서 나온 박스랑 포장재를 생활쓰레기처럼 내놨습니다. 신고자 정미경이고 연락은 010-8830-1194 로 주세요.,완료,2026/07/31,5,주민생활지원과,010-2697-4408,19650902-1******
M0018,260609,홈페이지,가온동,세종특별자치시 한빛구 가온동 11로 52,37.553273,127.053238,,N,박스가 한 트럭 분량입니다 이건 가정용이 아니에요,완료,260622,13,환경관리과,010-7935-7367,19741013-2******
M0061,2026/08/14,국민신문고,다솜동,다솜동 다솜동 일원,37.548379,127.059713,,N,놀이터 옆 벤치 밑에 과자봉지랑 음료수캔이 잔뜩입니다. 아이들이 노는 곳인데요.,완료,2026/08/20,6,주민생활지원과,010-7766-9084,19730816-2******
M0140,260801,앱,바다동,바다동 바다동 일원,37.565191,127.065153,,N,빌라 앞 계단에 생활폐기물이 종량제 없이 버려져 있습니다.,완료,260806,5,주민생활지원과,010-8681-4296,19561013-1******
M0119,260714,홈페이지,마루동,세종특별자치시 한빛구 마루동 39로 15,37.549364,127.03387,마루골목 상가 뒤,Y,건축 폐기물이 도로 한쪽을 막고 있습니다. 차가 지나기 어렵습니다.,완료,260716,2,청소행정과,010-5420-2770,20020207-1******
M0154,2026-08-03,방문,새벽동,세종특별자치시 한빛구 새벽동 4로 40,37.544188,127.052119,새벽역 2번출구 뒤편,Y,공사판 쓰레기가 그대로예요 치워주세요,완료,2026-08-13,10,환경관리과,010-5905-7519,19820616-2******
M0049,2026.07.05,전화,가온동,가온동 가온동 일원,37.556458,127.053826,,N,계속 그래요,완료,2026.07.13,8,주민생활지원과,010-6983-2018,19890710-2******
M0072,2026.05.31,홈페이지,다솜동,세종특별자치시 한빛구 다솜동 11로 52,37.542759,127.06072,,N,여름이라 그런지 악취가 진동합니다 빨리 와주세요,완료,2026.06.08,8,환경관리과,010-5044-5666,19660607-1******
M0060,260713,방문,다솜동,세종특별자치시 한빛구 다솜동 15로 25,37.545576,127.058593,다솜빌라 주차장,Y,어제 비 온 뒤로 음식물 버린 데서 물이 고여 냄새가 더 심해졌습니다.,완료,260725,12,환경관리과,010-4234-7169,19760703-2******
M0170,2026-07-07,방문,나래동,한빛구 나래동 274-6,37.558889,127.056713,나래아파트 상가,Y,전봇대 옆에 쓰레기가 계속 나옵니다. 표지판 하나 세워주시면 안 될까요.,완료,2026-07-16,9,주민생활지원과,010-7490-7480,19560405-2******
M0053,2026/05/22,홈페이지,다솜동,한빛구 다솜동 175-11,37.551549,127.061841,,N,민원 넣습니다.,완료,2026/05/29,7,환경관리과,010-9500-3009,19920601-2******
M0038,2026-05-23,전화,가온동,한빛구 가온동 294-60,37.552443,127.04902,가온시장 뒷골목,Y,타일 조각이랑 콘크리트 덩어리가 쌓여 있습니다. 비 오면 흙탕물이 흘러내립니다.,완료,2026-05-29,6,주민생활지원과,010-2044-3881,19760918-2******
M0141,2026-06-26,앱,바다동,바다동 바다동 일원,37.561398,127.067815,,N,식당 뒤편인지 주택인지 모르겠지만 음식물이 그대로 나와 있습니다. 용기가 없습니다.,보류,,,환경관리과,010-5901-6031,19801109-2******
M0165,2026-06-26,홈페이지,새벽동,새벽동 새벽동 일원,,,,N,빨리 좀 와주세요 답답합니다,완료,2026-06-30,4,청소행정과,010-2897-2413,19690206-2******
M0061,2026/08/14,국민신문고,다솜동,다솜동 다솜동 일원,37.548379,127.059713,,N,놀이터 옆 벤치 밑에 과자봉지랑 음료수캔이 잔뜩입니다. 아이들이 노는 곳인데요.,완료,2026/08/20,6,주민생활지원과,010-7766-9084,19730816-2******
M0013,2026-06-03,앱,가온동,가온동 가온동 일원,37.552591,127.053826,,N,길가에 쓰레기 봉투 몇 개가 뜯긴 채로 있습니다. 고양이가 헤집은 것 같아요.,보류,,,주민생활지원과,010-6466-7607,19881108-1******
M0147,2026.08.20,홈페이지,바다동,세종특별자치시 한빛구 바다동 8로 46,,,바다공원 북측 출입로,Y,재활용함 옆에 쌓인 게 버린 건지 넣으려다 못 넣은 건지 모르겠습니다.,완료,2026.08.30,10,주민생활지원과,010-6017-8176,19850601-1******
M0003,2026-05-25,방문,가온동,가온동 가온시장 뒷골목,37.552712,127.049175,가온시장 뒷골목,Y,가구 버릴 때 스티커 붙이는 거 모르는 분들이 많은 것 같아요. 안내가 필요해 보입니다.,완료,2026-06-04,10,환경관리과,010-9270-4003,19921208-2******
M0085,2026/07/14,홈페이지,다솜동,세종특별자치시 한빛구 다솜동 35로 18,37.545638,127.059824,다솜로 3길 원룸촌,Y,영업장 쓰레기를 주택가 배출장소에 갖다 놓습니다. 주민들 것보다 훨씬 많아요.,완료,2026/07/27,13,청소행정과,010-8120-9074,19670119-1******
M0182,260523,앱,나래동,나래동 나래아파트 상가,37.55919,127.057221,나래아파트 상가,Y,정상 배출인데 안 가져가서 밤새 그대로 있었습니다. 고양이가 뜯어놨습니다.,처리중,,,청소행정과,010-9288-9288,19840702-1******
M0187,2026/07/19,전화,나래동,나래동 나래아파트 상가,37.558889,127.056705,나래아파트 상가,Y,매트리스랑 서랍장이 스티커도 없이 버려져 있습니다. 제 번호 010-4471-2258 입니다. 오전에 전화 주시면 현장 같이 봐드릴게요.,완료,2026/07/22,,주민생활지원과,010-6600-3072,19630201-2******
M0163,260703,앱,새벽동,새벽동 새벽동 일원,37.545758,127.053281,,N,종이류 통만 유독 빨리 찹니다. 비우는 주기를 늘려주세요.,완료,2026-04-02,4,환경관리과,010-2680-5269,19881010-2******
M0104,2026.05.17,방문,마루동,마루동 마루동 일원,37.548948,127.029819,,N,철근 조각이 튀어나와 있어서 위험합니다. 아이들 지나다니는 길입니다.,완료,2026.05.25,8,청소행정과,010-6285-5910,19890915-1******
M0056,2026-06-19,방문,다솜동,한빛구 다솜동 229-29,37.546951,127.061545,다솜중학교 후문,Y,수요일에 내놓으라는데 월요일부터 나와 있습니다.,완료,2026-06-21,2,환경관리과,010-5924-2820,19690513-1******
M0048,2026-08-08,전화,가온동,,37.550998,127.047532,가온로 12길 일대,Y,가게 앞에 영업 쓰레기를 생활쓰레기처럼 내놨습니다.,처리중,,,환경관리과,010-2038-6170,19680828-2******
M0097,2026-05-07,전화,마루동,한빛구 마루동 544-12,37.549203,127.034165,마루골목 상가 뒤,Y,사업장 폐기물로 보이는데 일반 종량제로 배출했습니다. 규정 위반 아닌가요.,완료,2026-05-14,7,주민생활지원과,010-3839-2891,19910808-1******
M0091,2026-05-28,전화,마루동,한빛구 마루동 823-59,37.549505,127.035174,마루경로당 앞,Y,폐목재에 못이 박힌 채로 방치돼 있습니다. 정말 위험해 보입니다.,완료,2026-06-05,8,청소행정과,010-2744-9959,19611003-2******
M0067,2026.07.19,전화,다솜동,세종특별자치시 한빛구 다솜동 39로 22,37.543931,127.065065,,N,수거가 안 된 건지 요일을 안 지킨 건지 판단이 안 섭니다.,완료,2026.07.29,10,주민생활지원과,010-9379-5881,19731115-1******
M0094,2026-05-09,홈페이지,마루동,세종특별자치시 한빛구 마루동 24로 75,37.549262,127.034268,마루골목 상가 뒤,Y,건설 폐기물은 따로 처리해야 하는 걸로 아는데 그냥 두고 갔습니다.,완료,2026-05-20,11,청소행정과,010-6334-1185,19991206-1******
M0086,2026/08/08,전화,다솜동,세종특별자치시 한빛구 다솜동 12로 81,37.545763,127.059535,다솜로 3길 원룸촌,Y,확인 요망,완료,2026/08/18,10,환경관리과,010-2993-4549,19930806-2******
M0137,2026-05-02,홈페이지,바다동,세종특별자치시 한빛구 바다동 11로 42,37.563234,127.067579,,N,통이 꽉 차 있어서 그 앞에 놓고 갔습니다. 버린 건지 놓은 건지 애매합니다.,완료,2026-05-07,5,환경관리과,010-7540-1875,19571020-1******
M0015,2026/07/30,국민신문고,가온동,세종특별자치시 한빛구 가온동 38로 42,37.555542,127.049742,,N,생활쓰레기 무단투기입니다. 위치는 주소 참고 부탁드립니다.,완료,2026/08/10,11,청소행정과,010-9134-8279,20010706-1******
M0064,260621,방문,다솜동,다솜동 다솜중학교 후문,37.546915,127.061474,다솜중학교 후문,Y,포장재랑 완충재가 한꺼번에 나와 있어요. 가정에서 나올 양이 아닙니다.,완료,260701,10,환경관리과,010-5261-4388,19591106-1******
M0017,260602,국민신문고,가온동,세종특별자치시 한빛구 가온동 21로 54,37.550778,127.047405,가온로 12길 일대,Y,국물이 흘러서 계단까지 내려왔습니다. 미끄러워서 위험합니다.,보류,,,청소행정과,010-3176-3811,19980220-1******
M0198,2026-08-10,방문,라온동,세종특별자치시 한빛구 라온동 7로 3,37.564815,127.041558,라온천 산책로 입구,Y,밤에 누가 음식물 통째로 버리고 갔습니다. 아침에 보니 다 쏟아져 있었어요.,완료,2026-08-15,5,청소행정과,010-4843-9087,19841119-2******
M0159,2026-08-04,앱,새벽동,세종특별자치시 한빛구 새벽동 19로 45,37.545324,127.056443,,N,지난번이랑 같은 문제입니다.,완료,2026-08-10,6,청소행정과,010-8626-1478,19970922-1******
M0096,260729,홈페이지,마루동,마루동 마루동 일원,37.551222,127.0326,,N,주기적으로 쌓입니다. 주로 주말 지나고 월요일 아침에 제일 심합니다.,완료,260808,10,주민생활지원과,010-9498-5292,20001114-1******
M0176,2026.05.11,전화,나래동,세종특별자치시 한빛구 나래동 34로 49,37.558225,127.056956,나래아파트 상가,Y,음식물 버린 자리에 국물 자국이 남아서 파리가 많습니다.,완료,2026.05.24,13,청소행정과,010-9581-9429,20030412-2******
M0142,2026-05-11,방문,바다동,바다동 바다동 일원,37.560702,127.068437,,N,가로수 아래 쓰레기 방치. 미관상 안 좋습니다.,완료,2026-05-14,3,환경관리과,010-4978-4759,19900606-2******
M0168,2026-08-05,국민신문고,새벽동,한빛구 새벽동 542-8,37.543827,127.047269,,N,낡은 소파 하나 방치. 언제 치워주시나요.,완료,2026-08-09,4,청소행정과,010-6954-9815,19800811-2******
M0124,2026-06-30,앱,바다동,세종특별자치시 한빛구 바다동 37로 40,37.559404,127.068671,,N,배출 요일을 모르시는 건지 무시하시는 건지 매번 그럽니다.,보류,,,환경관리과,010-5825-1176,19640515-1******
M0058,260709,국민신문고,,다솜동 다솜로 3길 원룸촌,37.545668,127.059588,다솜로 3길 원룸촌,Y,담배꽁초랑 일회용컵이 계단 밑에 수북합니다. 치워도 며칠이면 또 그래요.,보류,,,환경관리과,010-2136-2736,19600105-2******
M0133,2026-07-12,홈페이지,바다동,바다동 바다공원 북측 출입로,37.561258,127.067245,바다공원 북측 출입로,Y,음식물인지 일반쓰레기인지 섞여 있어서 모르겠습니다.,완료,2026-07-13,1,청소행정과,010-8113-8604,19630407-1******
M0073,2026.07.14,국민신문고,다솜동,한빛구 다솜동 519-45,37.546224,127.059913,다솜로 3길 원룸촌,Y,일반 비닐봉지에 담긴 생활쓰레기가 전봇대 밑에 있습니다. 종량제가 아닙니다.,보류,,,주민생활지원과,010-6603-2338,19600727-2******
M0092,2026.07.06,방문,마루동,한빛구 마루동 520-45,37.548403,127.03362,마루골목 상가 뒤,Y,주말에 내놓으면 월요일까지 그냥 있습니다. 냄새가 납니다.,완료,2026.07.11,5,청소행정과,010-6426-7470,19660604-1******
M0006,2026-07-11,국민신문고,가온동,한빛구 가온동 260-44,37.551567,127.048234,가온로 12길 일대,Y,요일제 안 지켜서 며칠씩 방치됩니다 안내문이라도 붙여주세요,완료,2026-07-21,10,주민생활지원과,010-5059-6886,19970716-2******
M0050,2026/08/12,방문,가온동,세종특별자치시 한빛구 가온동 10로 28,37.552804,127.049218,가온시장 뒷골목,Y,쓰레기가요 계속 여기 있는데 아무도 안치워가요,완료,2026/08/24,12,환경관리과,010-4386-1007,19591207-2******
M0099,2026-05-11,전화,마루동,마루동 마루골목 상가 뒤,37.549524,127.034469,마루골목 상가 뒤,Y,매번 이 시간이면 통이 넘칩니다. 수거 시간을 조정해주시면 좋겠습니다.,처리중,,,환경관리과,010-7466-4534,20011005-1******
M0059,260709,방문,다솜동,한빛구 다솜동 626-27,37.545502,127.059384,다솜빌라 주차장,Y,상습적으로 버려지는 곳이라 CCTV 설치 검토 부탁드립니다.,완료,260720,11,환경관리과,010-7889-2471,19610219-1******
M0021,260706,홈페이지,가온동,한빛구 가온동 384-49,37.551233,127.052085,,N,여기요,보류,,,청소행정과,010-4516-8178,19600410-1******
M0002,2026/08/07,홈페이지,가온동,한빛구 가온동 242-45,37.556217,127.047893,,N,옷장 문짝이 떨어져 나와서 못이 튀어나와 있습니다. 아이들이 다칠까 걱정입니다.,완료,2026/08/13,6,환경관리과,010-8392-1577,19750316-1******
M0082,2026.06.25,홈페이지,다솜동,한빛구 다솜동 611-31,37.545099,127.058952,다솜빌라 주차장,Y,검은봉투 세 개가 길에 그대로 있어요. 종량제 아닙니다.,완료,2026.07.01,6,주민생활지원과,010-2226-5417,19821128-1******
M0128,2026.05.22,홈페이지,바다동,한빛구 바다동 125-8,37.556199,127.069808,,N,수거 누락된 것 같습니다 재수거 요청드립니다,완료,2026.05.23,1,환경관리과,010-2291-1923,19620904-1******
M0022,2026-08-09,방문,가온동,세종특별자치시 한빛구 가온동 1로 70,37.551482,127.047143,가온로 12길 일대,Y,수거함이 넘쳐서 옆에다 놓고 갑니다. 이걸 주민 탓만 하기는 어려울 것 같아요.,완료,2026-08-16,7,청소행정과,010-6365-5273,19850220-2******
M0155,2026/07/19,국민신문고,새벽동,새벽동 새벽동 일원,37.539582,127.053924,,N,TV랑 선반이 골목에 방치돼 있어요. 지나가기 불편합니다.,처리중,,,주민생활지원과,010-5231-5382,19870811-2******
M0034,2026.07.20,방문,가온동,가온동 가온시장 뒷골목,37.552756,127.049451,가온시장 뒷골목,Y,업소용 대용량 포장재가 그대로 나와 있습니다.,완료,2026.07.27,7,주민생활지원과,010-7872-2425,19880103-1******
M0066,2026/07/22,앱,다솜동,다솜동 다솜빌라 주차장,37.545055,127.05905,다솜빌라 주차장,Y,치킨집 앞에 기름통이랑 박스가 같이 있습니다. 냄새도 납니다.,완료,2026/07/28,6,청소행정과,010-4837-3338,19960517-1******
M0190,2026/08/05,국민신문고,라온동,한빛구 라온동 372-22,37.564663,127.041973,라온천 산책로 입구,Y,전용 용기 안 쓰고 그냥 봉지째 버려뒀습니다. 벌레가 꼬이고 있습니다. 지나다니기 힘들 정도예요.,보류,,,주민생활지원과,010-4162-8861,19891006-2******
M0132,2026-08-06,방문,바다동,바다동 바다동 일원,37.564497,127.069133,,N,장롱이랑 매트리스가 버려져 있는데 스티커가 안 붙어 있습니다.,완료,2026-08-11,5,환경관리과,010-5358-6731,19841209-1******
M0045,260805,국민신문고,가온동,가온동 가온동 일원,37.557283,127.044122,,N,수거 차가 지나갔는데 몇 개를 놓고 갔습니다. 확인 부탁드립니다.,처리중,,,청소행정과,010-2111-8643,19670810-1******
