민원ID,접수일,처리일,처리상태,행정동,주소,위도,경도,민원내용,접수채널,담당부서,처리결과,신고자연락처,신고자생년,반복신고여부,비고
D1188,2025/09/30,2025/10/05,완료,별빛동,별빛동 원룸촌 클린하우스,37.543487,126.926404,페트병이랑 캔을 한 봉투에 넣었네요. 이러면 수거 안 되죠.,국민신문고,환경위생과,수거 후 안내문 부착,010-5276-1778,600806,Y,
D1165,2025-11-24,2025-11-29,완료,들녘동,새올구 들녘동 들녘로 11길 1,37.535589,126.927839,야간에만 그러니 현장을 잡기가 어렵습니다. 방법이 없을까요.,방문,환경위생과,계도 조치,010-2805-8219,831117,N,
D1191,2026-01-26,2026-02-01,완료,들녘동,새올구 들녘동 들녘로 6길 18,37.542419,126.923425,규격 봉투 안 쓰고 버린 건 수거 대상이 아니라고 들었습니다. 그럼 누가 치우나요.,전화,환경위생과,수거 완료,010-2696-3084,780412,N,
D1085,2026-07-29,2026-08-05,완료,별빛동,별빛동 근린공원 후문,37.551154,126.929561,마대에 담긴 쓰레기 치워주세요 며칠 됐어요,방문,환경위생과,과태료 부과,010-5693-7599,741225,N,
D1016,26.02.11,26.02.14,완료,바람동,새올구 바람동 바람로 17길 81,37.537978,126.941952,심야 상습 투기 지점입니다. 조치가 필요합니다.,모바일앱,환경위생과,수거 후 안내문 부착,010-1920-9735,010904,N,
D9005,2026년 5월 10일,2026년 5월 17일,완료,별빛동,별빛동 근린공원 후문,37.551023,126.929459,옷장 하나가 며칠 전부터 그 자리입니다.,모바일앱,자원순환과,계도 조치,010-4911-8049,741122,Y,
D1187,2025-09-20,2025-09-26,완료,들녘동,들녘동 먹자골목 뒤편,37.544073,126.935531,전화로 말씀드린 건입니다,국민신문고,자원순환과,수거 완료,010-8847-1551,900816,Y,
D1133,2026-03-18,2026-03-21,완료,숲길동,새올구 숲길동 숲길로 5길 30,37.581527,126.908576,종량제 봉투 값 아끼려고 그러는 것 같습니다. 매번 이럽니다.,구청 홈페이지,환경위생과,수거 후 안내문 부착,010-9385-4146,750624,N,
D1004,2026-06-22,,접수,들녘동,새올구 들녘동 들녘로 24길 16,37.531623,126.941628,밤마다 같은 자리에 봉투가 쌓이는데 낮에는 아무도 없습니다.,국민신문고,환경위생과,,010-6852-2695,660419,N,
D1086,2026/02/10,,접수,노을동,새올구 노을동 노을로 2길 85,37.56618,126.89826,냉장고를 버리려면 스티커를 붙여야 하는 걸로 아는데 그냥 뒀네요.,모바일앱,자원순환과,,010-7064-8725,820323,N,
D1099,2026년 5월 11일,2026년 5월 25일,완료,물결동,새올구 물결동 물결로 13길 51,37.555392,126.970685,마대에 담긴 생활쓰레기입니다. 양이 꽤 많습니다.,구청 홈페이지,환경위생과,수거 완료,010-4162-3778,860901,N,
D1088,2025/11/26,2025/11/29,완료,별빛동,새올구 별빛동 별빛로 20길 59,37.551539,126.911697,사진 첨부합니다,전화,환경위생과,과태료 부과,010-2516-5231,951004,N,
D1034,25.12.11,25.12.17,완료,바람동,새올구 바람동 바람로 24길 1,37.545113,126.923537,소파가 비를 맞아 다 젖었습니다. 냄새도 납니다.,전화,자원순환과,과태료 부과,010-5736-8236,980905,N,
D1092,2026-05-13,2026-05-20,완료,바람동,새올구 바람동 126-14번지,37.516863,126.909632,규격 봉투 안 쓴 쓰레기가 계단 옆에 쌓입니다. 아침마다 봅니다.,방문,환경위생과,계도 조치,010-7195-9210,890624,N,
D1118,2026-01-30,,처리중,노을동,노을동 버스 회차지 옆,37.545807,126.910385,영업장 폐기물을 생활쓰레기처럼 배출했습니다. 규정 위반 아닌가요.,국민신문고,환경위생과,,010-2097-5609,770606,Y,
D1017,25.12.08,25.12.14,완료,햇살동,새올구 햇살동 671-20번지,37.55301,126.921438,음식물을 따로 안 빼고 한 봉지에 섞어서 버렸어요.,전화,환경위생과,수거 완료,010-3241-6269,990926,N,
D1136,2025-09-01,2025-09-05,완료,물결동,새올구 물결동 물결로 3길 77,37.540514,126.958456,심야에 반복적으로 버려집니다. 안내문을 붙여도 소용없습니다.,구청 홈페이지,환경위생과,계도 조치,010-5270-1619,940620,Y,
D1075,2025-11-13,2025-11-15,완료,숲길동,새올구 숲길동 145-37번지,37.560012,126.915425,페트병에 내용물이 남은 채로 다른 것과 섞여 있습니다.,모바일앱,환경위생과,현장 정비,010-2591-8733,801108,N,
D1084,2026-04-25,2026-04-27,완료,별빛동,별빛동 원룸촌 클린하우스,37.543291,126.926424,세탁기가 골목에 나와 있는데 배출 필증이 안 보입니다.,구청 홈페이지,자원순환과,계도 조치,010-5225-9631,600222,Y,
D1049,2025-12-05,2025-12-06,완료,,새올구 물결동 물결로 20길 8,37.537223,126.95627,종량제 없이 버린 봉투가 어제부터 있습니다.,구청 홈페이지,환경위생과,수거 완료,010-3797-6147,580715,N,
D1155,2026-05-20,2026-05-24,완료,물결동,새올구 물결동 물결로 21길 9,37.544566,126.942784,규격 봉투를 안 쓰고 마대에 넣어 두고 갔습니다.,모바일앱,환경위생과,현장 정비,010-5965-8040,670409,N,
D1150,2026-07-22,2026-07-29,완료,들녘동,새올구 들녘동 들녘로 3길 72,37.544044,126.936149,옷장 문짝이 떨어져서 못이 튀어나와 있습니다. 위험합니다.,국민신문고,자원순환과,계도 조치,010-7077-9877,690507,N,
D1059,25.10.30,25.11.05,완료,들녘동,들녘동 먹자골목 뒤편,37.543806,126.935762,책상이 골목 입구를 막고 있어 차량 통행이 어렵습니다. 조속한 처리 바랍니다.,구청 홈페이지,자원순환과,과태료 부과,010-9875-1533,660626,N,
D1094,2026-04-01,2026-04-04,완료,별빛동,별빛동 재래시장 뒤 골목,37.553982,126.914083,심야에 트럭이 와서 내려놓고 간다는 목격담이 있습니다.,국민신문고,환경위생과,과태료 부과,010-8804-8498,780910,Y,
D1065,26.07.17,26.07.23,완료,바람동,새올구 바람동 787-31번지,37.541563,126.942076,계속 그럽니다,국민신문고,환경위생과,현장 정비,010-6156-2759,550801,N,
D9004,2025-10-05,2025-10-14,완료,노을동,노을동 대학가 원룸 밀집지,37.557794,126.91375,수거함이 넘쳐서 옆에 쌓였습니다. 통장 윤미래입니다. 010-3319-6628 로 회신 주세요.,구청 홈페이지,환경위생과,계도 조치,010-6454-2657,870614,N,
D1079,2026-02-02,2026-02-07,완료,햇살동,새올구 햇살동 햇살로 21길 4,37.546008,126.930592,규격 봉투가 아니라 그런지 계속 안 가져갑니다. 주민들이 답답해합니다.,전화,환경위생과,현장 정비,010-8394-4218,670801,N,
D1024,2026/05/18,2026/05/21,완료,노을동,새올구 노을동 노을로 23길 35,37.552319,126.889336,음식물 담긴 봉투가 햇볕에 며칠 있었더니 악취가 진동합니다.,구청 홈페이지,환경위생과,현장 정비,010-4978-9790,760520,N,
D1103,2026-08-19,2026-08-26,완료,물결동,물결동 하천 산책로 입구,37.551462,126.947727,점포 정리하면서 나온 진열대랑 집기를 길에 내놨습니다.,국민신문고,환경위생과,계도 조치,010-2672-3518,930110,Y,
D1068,2026년 5월 24일,2026년 5월 27일,완료,별빛동,새올구 별빛동 별빛로 1길 39,37.551351,126.930017,혼합배출 때문에 수거가 계속 밀립니다.,방문,환경위생과,현장 정비,010-7428-5300,560709,N,
D1144,26.03.02,26.03.05,완료,별빛동,새올구 별빛동 별빛로 2길 37,37.543198,126.926222,새벽 두 시쯤 차를 세우고 쓰레기만 버리고 갑니다.,국민신문고,환경위생과,수거 후 안내문 부착,010-2890-5849,030713,Y,
D1022,2026-06-06,,처리중,바람동,새올구 바람동 바람로 11길 84,37.520517,126.918872,음식물 봉지가 뜯겨서 새들이 헤집어 놨습니다.,모바일앱,환경위생과,,010-2718-1619,880116,N,
D1147,2026-08-20,2026-08-25,완료,물결동,물결동 일대,37.548222,126.94716,인근 식당에서 나온 영업 쓰레기를 주택가에 내놓습니다.,전화,환경위생과,현장 정비,010-3738-6159,750416,N,
D1161,2025-11-23,2025-11-30,완료,별빛동,별빛동 재래시장 뒤 골목,37.554146,126.913892,마대에 담긴 폐기물이 통행로를 막습니다. 유모차가 못 지나가요.,모바일앱,환경위생과,과태료 부과,010-6912-5037,000811,Y,
D1171,2025-09-08,2025-09-19,완료,노을동,새올구 노을동 680-2번지,37.562848,126.925552,분리수거함이 넘쳐서 주변 바닥까지 쌓였습니다.,모바일앱,환경위생과,계도 조치,010-5138-7317,571204,N,
D1101,2025-09-05,2025-09-07,완료,들녘동,새올구 들녘동 481-12번지,37.538659,126.937236,업소용 대용량 포장재가 그대로 나와 있어요.,방문,환경위생과,수거 완료,010-6123-9862,651027,N,
D1055,2026-07-20,2026-07-27,완료,바람동,새올구 바람동 바람로 15길 47,37.527362,126.941777,매트리스 스티커 미부착 건입니다.,전화,자원순환과,수거 완료,010-5738-4230,610804,N,
D1128,2026-01-04,2026-01-13,완료,별빛동,새올구 별빛동 196-19번지,37.543278,126.926792,부탁드립니다,전화,자원순환과,과태료 부과,010-9315-5717,550718,N,
D1097,2026-01-11,,접수,들녘동,새올구 들녘동 826-23번지,37.553075,126.94239,심야에 오토바이로 와서 버리고 가는 모습을 여러 번 봤습니다.,구청 홈페이지,환경위생과,,010-9948-1530,600411,N,
D1038,2026-08-13,2026-08-18,완료,햇살동,새올구 햇살동 햇살로 2길 66,37.574595,126.930769,음식물이 일반 봉투에 들어 있습니다 이거 안되는거 아닌가요,전화,환경위생과,과태료 부과,010-3445-3666,630516,N,
D1169,2026/07/31,2026/08/07,완료,들녘동,들녘동 일대,37.531602,126.923378,냉장고랑 세탁기가 같이 나와 있습니다. 가전 수거 신청을 안 한 것 같아요.,모바일앱,자원순환과,현장 정비,010-7563-8176,910311,N,
D1151,2026-03-26,2026-03-27,완료,숲길동,새올구 숲길동 숲길로 20길 26,37.566958,126.936792,캔이랑 유리병이 같이 있어서 위험합니다. 깨진 것도 보입니다.,국민신문고,환경위생과,현장 정비,010-7073-6826,610716,N,
D1158,2026-05-14,2026-05-16,완료,물결동,새올구 물결동 594-10번지,37.55165,126.947216,냉장고가 쓰러져 있습니다. 누가 밀었는지 모르겠네요.,모바일앱,자원순환과,수거 후 안내문 부착,010-4874-3162,010727,Y,
D1111,2026-03-03,2026-03-06,완료,노을동,노을동 일대,37.566583,126.907154,재활용품이 뒤섞여 있어 수거 기사가 그냥 갔습니다.,전화,환경위생과,수거 완료,010-2043-9315,600209,N,
D1029,2026-05-18,2026-05-20,완료,,들녘동 일대,37.535746,126.951242,박스를 접지도 않고 그냥 쌓아 놨어요. 부피가 엄청납니다.,모바일앱,환경위생과,수거 후 안내문 부착,010-6963-1919,780612,N,
D1107,2025/09/03,,접수,노을동,새올구 노을동 노을로 14길 29,37.562843,126.921256,서랍장이 부서진 채 쌓여 있습니다. 파편이 위험해 보입니다.,모바일앱,자원순환과,,010-3452-5720,570116,N,
D1142,2026/04/20,2026/04/24,완료,물결동,물결동 전통시장 주차장,37.540232,126.958752,상가에서 나온 폐식용유 통이 매일 같은 자리에 쌓입니다.,구청 홈페이지,환경위생과,과태료 부과,010-2597-6641,991102,Y,
D1064,2026-03-16,,접수,숲길동,새올구 숲길동 660-8번지,37.55289,126.926885,음식물을 종이봉투에 담아 버려서 바닥이 다 젖었습니다.,전화,환경위생과,,010-2009-9345,740711,Y,
D1102,2026-05-26,2026-06-01,완료,물결동,물결동 전통시장 주차장,37.540546,126.958833,박스와 스티로폼이 분리되지 않은 채 쌓여 있습니다.,구청 홈페이지,환경위생과,수거 후 안내문 부착,010-6857-8356,930911,N,
D9008,26.04.18,26.04.19,완료,숲길동,새올구 숲길동 숲길로 17길 60,37.57427,126.899545,밤사이에 또 쌓였습니다. 어제 치웠는데요.,국민신문고,환경위생과,수거 후 안내문 부착,010-7759-6512,980417,N,
D1051,2026/01/31,2026/02/09,완료,햇살동,새올구 햇살동 461-35번지,37.574573,126.949075,클린하우스가 넘쳐서 바람에 날립니다. 도로까지 굴러갑니다.,모바일앱,환경위생과,현장 정비,010-2328-6723,850621,N,
D1116,2026년 3월 17일,2026년 3월 21일,완료,바람동,새올구 바람동 바람로 9길 2,37.541609,126.918818,스티로폼에 테이프가 그대로 붙어 있어서 수거가 안 된답니다.,구청 홈페이지,환경위생과,계도 조치,010-4617-4436,921020,N,
D1067,2025/10/01,2025/10/04,완료,물결동,새올구 물결동 물결로 23길 73,37.555357,126.938254,,국민신문고,환경위생과,수거 후 안내문 부착,010-7690-6498,970918,N,
D1063,26.01.08,26.01.10,완료,물결동,새올구 물결동 물결로 10길 53,37.551486,126.947746,매트리스 세 개가 한꺼번에 나왔습니다. 이사 간 집 같습니다.,전화,자원순환과,과태료 부과,010-7651-3103,950925,Y,
D1152,2026/04/18,2026/04/25,완료,노을동,노을동 대학가 원룸 밀집지,37.557393,126.913605,세탁기 한 대 방치. 언제 치워주시나요.,전화,자원순환과,수거 완료,010-5057-8662,001218,Y,
D1170,2025-11-12,2025-11-16,완료,숲길동,새올구 숲길동 628-11번지,37.577546,126.904113,조치 부탁드립니다,방문,환경위생과,수거 완료,010-5355-8680,720920,N,
D1179,26.08.20,26.08.31,완료,숲길동,새올구 숲길동 숲길로 2길 88,37.577711,126.931533,일반 비닐에 넣은 생활폐기물입니다. 종량제로 다시 배출하도록 해주세요.,전화,환경위생과,계도 조치,010-9280-4266,720906,N,
D1159,2026-05-22,2026-05-24,완료,햇살동,햇살동 일대,37.560299,126.94426,식당 뒷문에 매일 아침 쓰레기가 산더미입니다,국민신문고,환경위생과,수거 후 안내문 부착,010-7302-1863,640801,N,
D1129,26.03.06,26.03.11,완료,햇살동,새올구 햇살동 194-25번지,37.54991,126.930542,책상 상판이랑 다리가 따로 버려져 있습니다.,모바일앱,자원순환과,계도 조치,010-1003-2572,830728,N,
D1023,2026-02-08,2026-02-13,완료,햇살동,새올구 햇살동 햇살로 17길 5,37.560547,126.930352,침대 매트리스가 비 맞고 곰팡이가 폈습니다. 악취가 납니다.,구청 홈페이지,자원순환과,현장 정비,010-1769-9918,631003,N,
D1061,2025-11-18,2025-11-29,완료,별빛동,새올구 별빛동 825-27번지,37.558739,126.916406,일반 비닐에 담긴 쓰레기가 길가에 나와 있습니다. 수거가 안 되는 것 같습니다.,방문,환경위생과,수거 후 안내문 부착,010-3689-2826,800525,Y,
D1167,2026-02-28,2026-03-11,완료,숲길동,숲길동 초등학교 담장길,37.560374,126.915275,업소 쓰레기 무단배출로 보입니다. 확인 부탁드립니다.,모바일앱,환경위생과,현장 정비,010-5397-8247,890613,Y,
D1132,2025-10-27,2025-11-02,완료,물결동,새올구 물결동 167-15번지,37.555585,126.952137,음식물이 섞여 있어 그대로는 수거가 안 된다고 합니다.,전화,환경위생과,현장 정비,010-3086-9074,680909,N,
D1112,2026/02/06,2026/02/12,완료,별빛동,별빛동 일대,37.562478,126.902954,재활용 분리가 전혀 안 돼 있습니다. 며칠째 그대로예요.,모바일앱,환경위생과,수거 후 안내문 부착,010-8873-1293,980707,N,
D1148,2026-06-18,,처리중,햇살동,새올구 햇살동 햇살로 5길 35,37.546268,126.92577,상가 이면도로에 영업 쓰레기가 방치돼 있습니다.,구청 홈페이지,환경위생과,,010-3142-9346,841106,N,
D1026,2025-09-04,,처리중,노을동,새올구 노을동 노을로 24길 12,37.551785,126.925736,침대랑 소파를 한꺼번에 내놨는데 아무 표시가 없어요.,전화,자원순환과,,010-4447-4706,780717,N,
D1095,2026/01/27,2026/01/29,완료,별빛동,새올구 별빛동 323-2번지,37.540518,126.917551,배출함이 작아서 매번 넘칩니다. 증설이 필요해 보입니다.,구청 홈페이지,환경위생과,계도 조치,010-1882-2492,610328,Y,
D1083,2026-04-06,2026-04-08,완료,숲길동,숲길동 아파트 후문 수거함,37.570504,126.925239,,전화,환경위생과,수거 후 안내문 부착,010-2220-4804,710812,N,
D1126,2025-11-04,2025-11-07,완료,바람동,바람동 공영주차장 경계,37.527326,126.93521,음식물을 따로 안 담아서 수거 기사가 못 가져갔다고 합니다.,구청 홈페이지,환경위생과,수거 후 안내문 부착,010-2762-6236,701019,N,
D1123,2026/03/22,2026/03/25,완료,별빛동,별빛동 재래시장 뒤 골목,37.554292,126.914214,유리병이 봉지째 버려져 있어서 밟으면 큰일 날 것 같습니다.,모바일앱,환경위생과,과태료 부과,010-5581-1564,950318,N,
D1178,2026-06-04,2026-06-08,완료,노을동,노을동 대학가 원룸 밀집지,37.557497,126.913683,세탁기 배출 스티커가 없습니다. 확인 부탁드립니다.,국민신문고,자원순환과,현장 정비,010-5627-4556,600208,Y,
D1063,26.01.08,26.01.10,완료,물결동,새올구 물결동 물결로 10길 53,37.551486,126.947746,매트리스 세 개가 한꺼번에 나왔습니다. 이사 간 집 같습니다.,전화,자원순환과,과태료 부과,010-7651-3103,950925,Y,
D1036,2025-12-11,2025-12-14,완료,물결동,새올구 물결동 393-28번지,37.559073,126.96134,수거함 주변이 엉망입니다. 함이 부족한 것 같습니다.,모바일앱,환경위생과,과태료 부과,010-6480-1765,910803,N,
D9003,25.12.11,25.12.17,완료,바람동,새올구 바람동 바람로 24길 1,37.545113,126.923537,소파가 비를 맞아 다 젖었습니다. 냄새도 납니다.,전화,자원순환과,과태료 부과,010-5736-8236,980905,N,
D1073,2026-06-08,2026-06-17,완료,별빛동,새올구 별빛동 별빛로 21길 26,37.540595,126.939383,일반 비닐봉지 쓰레기가 어제 저녁부터 그대로입니다.,전화,환경위생과,수거 완료,010-6108-6988,660827,Y,
D1077,2026/01/06,2026/01/04,완료,물결동,새올구 물결동 물결로 8길 45,37.558707,126.942973,답답합니다,모바일앱,환경위생과,현장 정비,010-3025-3186,840508,N,
D1012,2026-01-05,,접수,노을동,새올구 노을동 215-37번지,37.551702,126.89866,음식물이랑 일반쓰레기가 섞여 있어서 냄새가 심합니다.,모바일앱,환경위생과,,010-1856-4468,020820,N,
D1183,2025-11-14,2025-11-17,완료,노을동,새올구 노을동 노을로 10길 42,37.557323,126.913752,종이류에 코팅지랑 영수증이 섞여 있습니다. 구분이 필요합니다.,전화,환경위생과,과태료 부과,010-9219-7630,670101,N,
D1114,2026/07/24,2026/07/27,완료,별빛동,별빛동 고가교 하부,37.55709,126.923375,카페 앞 쓰레기가 한두 번이 아닙니다. 몇 번을 말해야 합니까.,구청 홈페이지,환경위생과,수거 후 안내문 부착,010-3574-5770,800708,Y,
D1054,2026-01-16,2026-01-21,완료,숲길동,새올구 숲길동 숲길로 19길 69,37.556123,126.899971,냉장고 한 대가 일주일째 그대로 서 있습니다.,구청 홈페이지,자원순환과,현장 정비,010-1652-1356,980319,N,
D1011,2025/09/04,2025/09/09,완료,별빛동,별빛동 근린공원 후문,37.551089,126.929592,혼합배출입니다. 분리해서 다시 내놓도록 안내가 필요합니다.,국민신문고,환경위생과,현장 정비,010-2283-5424,940907,Y,
D1090,2026/07/06,2026/07/25,완료,들녘동,새올구 들녘동 들녘로 9길 56,37.542326,126.955706,혼합배출된 봉투가 비를 맞아 다 젖었습니다. 더 무거워져서 못 치웁니다.,전화,환경위생과,수거 후 안내문 부착,010-3772-1123,800308,N,
D1135,2025-10-23,2025-11-01,완료,들녘동,들녘동 일대,37.535626,126.937158,,국민신문고,환경위생과,수거 완료,010-3067-8896,620409,N,
D1120,2025-09-09,2025-09-11,완료,물결동,물결동 전통시장 주차장,37.540577,126.958987,냄새가 너무 심합니다,국민신문고,환경위생과,계도 조치,010-1568-3239,930209,Y,
D1028,2025/10/26,,처리중,물결동,새올구 물결동 541-40번지,37.533751,126.956465,규격 봉투를 안 쓰니 수거 기사님도 그냥 지나갑니다. 악순환입니다.,전화,환경위생과,,010-5472-8446,750222,N,
D1033,2026-07-27,2026-07-30,완료,물결동,새올구 물결동 물결로 8길 14,37.530437,126.970528,재활용품을 분리도 안 하고 한 자루에 다 넣었습니다.,전화,환경위생과,수거 완료,010-7628-3740,870806,N,
D1005,2026-08-22,2026-08-18,완료,물결동,새올구 물결동 물결로 24길 7,37.547793,126.952135,수거함 옆에 봉투가 열 개 넘게 쌓여 있습니다.,구청 홈페이지,환경위생과,현장 정비,010-7661-8114,750112,N,
D1109,2025-11-09,,처리중,물결동,새올구 물결동 789-5번지,37.529972,126.947257,또 그 자리입니다,국민신문고,환경위생과,,010-7889-9696,010505,N,
D1130,2026-08-28,2026-08-31,완료,숲길동,새올구 숲길동 숲길로 21길 19,37.57068,126.899684,유리병 분리 안 하고 그냥 버렸어요 위험해요,모바일앱,환경위생과,현장 정비,010-9526-7944,760210,Y,
D1018,2025-10-06,2025-10-13,완료,별빛동,별빛동 상가 이면도로,37.540753,126.917376,음식물 물기도 안 빼고 그냥 버렸어요. 국물이 흐릅니다.,국민신문고,환경위생과,수거 완료,010-4403-4121,970404,Y,
D1163,2026-01-11,2026-01-12,완료,숲길동,새올구 숲길동 숲길로 13길 47,37.581559,126.931474,종량제 안 쓴 쓰레기 신고합니다.,구청 홈페이지,환경위생과,수거 완료,010-4601-6372,990517,N,
D1001,2025/09/11,,접수,들녘동,새올구 들녘동 들녘로 8길 24,,,좀 나와 보세요,모바일앱,환경위생과,,010-6244-6839,910224,N,좌표 미확인
