민원ID,접수일,부서,민원유형,행정동,접수채널,연령대,처리상태,처리일,처리일수,만족도,재민원여부,민원인연락처,민원내용요약
C00205,2025-12-27,도로교통과,도로파손,라온동,국민신문고,40대,완료,2026-01-02,6,4,N,010-7599-2815,포트홀 발생
C00739,2026-08-16,건축과,건축 인허가,나래동,전화,50대,완료,2026-08-29,13,3,N,010-7728-2883,허가 처리 지연 문의
C00078,2025-10-09,도로교통과,불법주정차,마루동,전화,20대 이하,완료,2025-10-17,8,4,N,010-2050-4177,이면도로 상시 주차
C00170,2025-11-29,청소행정과,쓰레기 무단투기,다솜동,앱,30대,완료,2025-12-03,4,3,N,010-2413-3519,상습 투기 지점 방치
C00561,2026-05-04,건축과,건축 인허가,가온동,국민신문고,50대,완료,2026-05-28,24,1,N,010-5029-4657,허가 처리 지연 문의
C00045,2025-09-30,청소행정과,쓰레기 무단투기,나래동,앱,40대,완료,2025-10-06,6,,N,010-8996-1391,상습 투기 지점 방치
C00161,2025년 11월 17일,주민생활지원과,기타,가온동,국민신문고,40대,완료,2025년 11월 30일,13,3,N,010-6342-8843,기타 건의
C00224,2025년 12월 30일,청소행정과,쓰레기 무단투기,가온동,전화,60대 이상,완료,2026년 01월 06일,7,3,Y,010-5299-7781,상습 투기 지점 방치
C00427,2026년 03월 25일,복지정책과,복지 상담,바다동,전화,40대,완료,2026년 03월 30일,5,4,N,010-7367-8388,지원금 신청 문의
C00069,2025.10.19,주민생활지원과,기타,가온동,앱,40대,완료,2025.10.30,11,,Y,010-6181-6668,기타 건의
C00212,2025-12-09,복지정책과,복지 상담,마루동,방문,50대,완료,2025-12-14,5,,N,010-7520-3975,지원금 신청 문의
C00262,2026-01-18,환경관리과,공원 관리,나래동,전화,40대,완료,2026-01-23,5,,N,010-9953-6609,시설물 파손
C00111,2025.10.30,주민생활지원과,기타,새벽동,홈페이지,20대 이하,완료,2025.11.03,-3,5,N,010-7231-5759,기타 건의
C00681,2026-07-05,도로교통과,도로파손,나래동,앱,30대,보류,,,,N,010-2092-3128,포트홀 발생
C00263,2026-01-21,건축과,건축 인허가,다솜동,앱,50대,완료,2026-02-04,14,3,N,010-2935-6618,허가 처리 지연 문의
C00330,2026-02-05,도로교통과, 불법주정차 ,나래동,국민신문고,40대,완료,2026-02-09,4,5,Y,010-3772-7601,이면도로 상시 주차
C00211,2025-12-12,환경관리과,소음,라온동,홈페이지,40대,완료,2025-12-17,5,5,N,010-3723-6282,야간 공사 소음
C00079,2025-10-05,환경관리과,소음,바다동,방문,40대,보류,,,,N,010-8195-5037,야간 공사 소음
C00572,2026/06/17,환경관리과,공원 관리,바다동,국민신문고,30대,완료,2026/06/25,8,5,N,010-5723-2314,시설물 파손
C00356,2026.02.27,환경관리과,소음,가온동,국민신문고,20대 이하,완료,2026.03.09,10,,N,010-5328-4496,야간 공사 소음
C00725,2026-08-22,청소행정과,쓰레기 무단투기,나래동,전화,20대 이하,완료,2026-09-02,11,3,N,010-7771-6678,상습 투기 지점 방치
C00236,2025/12/12,환경관리과,악취,가온동,국민신문고,30대,완료,2025/12/22,10,3,N,010-5681-3864,음식물 쓰레기 악취
C00185,2025-11-14,건축과,건축 인허가,나래동,홈페이지,20대 이하,완료,2025-12-08,24,,N,010-2470-7018,허가 처리 지연 문의
C00747,2026/08/14,청소행정과,쓰레기 무단투기,,앱,60대 이상,처리중,,,,N,010-7178-4599,상습 투기 지점 방치
C00028,2025년 09월 28일,환경관리과,악취,다솜동,앱,30대,완료,2025년 09월 30일,2,4,N,010-4397-4819,음식물 쓰레기 악취
C00377,2026.03.07,환경관리과,소음,바다동,전화,40대,완료,2026.03.12,5,5,N,010-6930-6116,야간 공사 소음
C00689,2026-07-13,청소행정과, 쓰레기 무단투기 ,바다동,국민신문고,30대,보류,,,,N,010-2349-6412,상습 투기 지점 방치
C00044,2025-09-16,청소행정과,쓰레기 무단투기,바다동,앱,30대,완료,2025-08-15,7,,N,010-2184-8097,상습 투기 지점 방치
C00095,2025-10-10,도로교통과,불법주정차,새벽동,홈페이지,50대,완료,2025-10-21,11,3,N,010-2451-1771,이면도로 상시 주차
C00196,2025년 12월 06일,환경관리과,악취,,방문,30대,완료,2025년 12월 16일,10,3,N,010-7592-1940,음식물 쓰레기 악취
C00498,2026-04-28,건축과,건축 인허가,가온동,홈페이지,20대 이하,완료,2026-04-29,1,,N,010-7414-7257,허가 처리 지연 문의
C00221,2025-12-14,복지정책과,복지 상담,새벽동,국민신문고,50대,완료,2025-12-17,3,,N,010-8689-8862,지원금 신청 문의
C00503,2026.05.25,도로교통과,도로파손,가온동,전화,20대 이하,완료,2026.06.08,14,4,N,010-6006-8108,포트홀 발생
C00660,2026-07-22,건축과,건축 인허가,바다동,국민신문고,30대,완료,2026-08-14,23,2,N,010-7954-8814,허가 처리 지연 문의
C00108,2025-10-12,청소행정과,쓰레기 무단투기,다솜동,방문,30대,완료,2025-10-19,7,4,N,010-9797-9543,상습 투기 지점 방치
C00222,2025/12/27,복지정책과,복지 상담,바다동,홈페이지,50대,완료,2026/01/02,6,,N,010-2465-7847,지원금 신청 문의
C00738,2026-08-06,복지정책과,복지 상담,바다동,앱,50대,완료,2026-08-14,8,4,N,010-7186-3057,지원금 신청 문의
C00323,2026-02-22,청소행정과, 쓰레기 무단투기 ,마루동,전화,40대,완료,2026-03-03,9,3,N,010-2785-2222,상습 투기 지점 방치
C00450,2026-04-27,청소행정과,쓰레기 무단투기,새벽동,국민신문고,60대 이상,완료,2026-05-02,5,4,N,010-9378-1232,상습 투기 지점 방치
C00438,2026-04-25,도로교통과,도로파손,마루동,국민신문고,40대,완료,2026-05-03,8,5,N,010-2163-1326,포트홀 발생
C00683,2026-07-04,청소행정과,쓰레기 무단투기,가온동,국민신문고,40대,완료,2026-07-21,17,1,N,010-8080-8926,상습 투기 지점 방치
C00254,2026-01-11,청소행정과,쓰레기 무단투기,다솜동,전화,20대 이하,보류,,,,N,010-2987-7960,상습 투기 지점 방치
C00060,2025-09-24,도로교통과,불법주정차,바다동,전화,60대 이상,완료,2025-10-01,7,3,N,010-5605-6927,이면도로 상시 주차
C00721,2026년 08월 12일,청소행정과,쓰레기 무단투기,가온동,방문,40대,완료,2026년 08월 31일,19,2,N,010-2639-5169,상습 투기 지점 방치
C00174,2025.11.28,건축과,건축 인허가,다솜동,전화,50대,완료,2025.12.11,13,2,N,010-4318-8372,허가 처리 지연 문의
C00602,2026년 06월 22일,환경관리과,소음,바다동,앱,60대 이상,완료,2026년 06월 25일,3,5,N,010-4971-2467,야간 공사 소음
C00651,2026년 07월 06일,도로교통과,불법주정차,마루동,국민신문고,60대 이상,완료,2025-08-15,5,,N,010-7958-3241,이면도로 상시 주차
C00194,2025/12/20,도로교통과,불법주정차,바다동,앱,50대,완료,2025/12/26,6,,N,010-5356-8190,이면도로 상시 주차
C00742,2026년 08월 27일,청소행정과,쓰레기 무단투기,나래동,홈페이지,30대,완료,2026년 09월 02일,6,,Y,010-2429-7848,상습 투기 지점 방치
C00414,2026-03-31,주민생활지원과,기타,바다동,앱,30대,완료,2026-04-10,10,,N,010-9776-2535,기타 건의
C99154,2026.07.18,도로교통과,가로등 고장,새벽동,전화,30대,완료,2026.07.22,4,,N,010-6378-2584,야간 점등 불량
C00131,2025/11/21,도로교통과,가로등 고장,라온동,국민신문고,50대,완료,2025/11/30,9,,N,010-5887-1889,야간 점등 불량
C00352,2026-02-16,도로교통과,도로파손,마루동,국민신문고,40대,보류,,,,N,010-4455-8378,포트홀 발생
C00596,2026-06-06,도로교통과,가로등 고장,가온동,전화,30대,완료,2026-06-17,11,,N,010-5302-7406,야간 점등 불량
C00440,2026.04.17,도로교통과,가로등 고장,마루동,국민신문고,50대,완료,2026.04.26,9,5,N,010-3865-5482,야간 점등 불량
C00614,2026/06/22,환경관리과,소음,새벽동,전화,50대,완 료,2026/06/26,4,4,N,010-3128-4737,야간 공사 소음
C98071,2026/02/11,환경관리과,소음,바다동,국민신문고,20대 이하,완료,2026/02/19,8,4,Y,010-6574-8719,야간 공사 소음
C00637,2026년 07월 10일,건축과, 건축 인허가 ,다솜동,전화,40대,완료,2026년 07월 22일,12,3,N,010-6092-9065,허가 처리 지연 문의
C00574,2026년 06월 21일,도로교통과,도로파손,가온동,홈페이지,20대 이하,완료,2026년 06월 28일,7,,N,010-9448-8437,포트홀 발생
C00076,2025.10.20,복지정책과,복지 상담,새벽동,국민신문고,60대 이상,완료,2025-08-15,6,,N,010-8987-2739,지원금 신청 문의
C00577,2026-06-29,건축과,건축 인허가,나래동,국민신문고,20대 이하,완 료,2026-07-15,16,3,N,010-2738-9203,허가 처리 지연 문의
C00546,2026년 05월 25일,도로교통과,도로파손,나래동,방문,30대,완료,2026년 05월 26일,1,5,N,010-3905-4733,포트홀 발생
C00329,2026년 02월 25일,주민생활지원과,기타,바다동,홈페이지,40대,완료,2026년 03월 01일,4,,N,010-8041-8495,기타 건의
C00568,2026-06-15,청소행정과,쓰레기 무단투기,다솜동,앱,20대 이하,완료,2026-06-19,4,,N,010-5099-6989,상습 투기 지점 방치
C00192,2025-12-18,환경관리과,소음,다솜동,국민신문고,50대,완료,2025-12-26,8,,N,010-8413-3039,야간 공사 소음
C00476,2026년 04월 10일,도로교통과,가로등 고장,마루동,국민신문고,60대 이상,완료,2026년 04월 11일,1,,N,010-3685-7495,야간 점등 불량
C00286,2026.01.10,청소행정과,쓰레기 무단투기,새벽동,앱,20대 이하,완료,2026.01.11,1,5,N,010-5264-5491,상습 투기 지점 방치
C00604,2026-06-06,도로교통과,가로등 고장,마루동,전화,50대,완료,2026-06-14,8,,N,010-7940-7166,야간 점등 불량
C00642,2026/07/24,청소행정과,쓰레기 무단투기,가온동,앱,50대,완료,2026/08/07,14,5,Y,010-4754-6897,상습 투기 지점 방치
C00179,2025-11-22,환경관리과,악취,마루동,국민신문고,50대,완료,2025-12-05,13,3,N,010-2788-1495,음식물 쓰레기 악취
C00247,2026-01-24,환경관리과,소음,다솜동,앱,40대,완료,2026-01-31,7,3,N,010-2548-4825,야간 공사 소음
C00529,2026-05-30,도로교통과,가로등 고장,나래동,전화,50대,완료,2026-06-09,10,2,Y,010-2496-2583,야간 점등 불량
C00132,2025.11.18,환경관리과,공원 관리,바다동,국민신문고,30대,완료,2025.11.20,2,4,N,010-9552-9229,시설물 파손
C00399,2026년 03월 02일,건축과,건축 인허가,바다동,앱,40대,완료,2026년 03월 21일,19,2,N,010-4629-2187,허가 처리 지연 문의
C00470,2026-04-13,청소행정과,쓰레기 무단투기,가온동,국민신문고,60대 이상,완료,2026-05-02,19,,N,010-5765-2819,상습 투기 지점 방치
C00605,2026-06-13,환경관리과,소음,나래동,앱,40대,완료,2026-06-20,7,,N,010-4314-8031,야간 공사 소음
C00372,2026-03-01,건축과,건축 인허가,가온동,국민신문고,40대,완료,2025-08-15,16,4,N,010-7958-6316,허가 처리 지연 문의
C00120,2025-10-04,주민생활지원과,기타,라온동,앱,40대,완료,2025-10-11,7,,N,010-9209-9686,기타 건의
C00104,2025.10.27,건축과, 건축 인허가 ,가온동,방문,50대,완료,2025.11.04,8,4,N,010-9147-2041,허가 처리 지연 문의
C00151,2025-11-14,도로교통과,도로파손,라온동,국민신문고,20대 이하,완료,2025-11-18,4,5,N,010-9566-8039,포트홀 발생
C00550,2026-05-20,도로교통과,가로등 고장,라온동,홈페이지,50대,완료,2026-05-28,8,4,N,010-6437-6169,야간 점등 불량
C91036,2026.06.18,주민생활지원과,기타,가온동,앱,40대,완료,2026.06.29,11,,N,010-7999-2981,기타 건의
C00023,2025-09-04,환경관리과,악취,가온동,국민신문고,60대 이상,완료,2025-09-24,20,2,N,010-8210-4124,음식물 쓰레기 악취
C00588,2026년 06월 18일,도로교통과,불법주정차,새벽동,방문,40대,완료,2026년 06월 28일,10,,N,010-8917-7317,이면도로 상시 주차
C00010,2025-09-19,도로교통과,불법주정차,마루동,앱,50대,처리중,,,,N,010-7338-7543,이면도로 상시 주차
C00481,2026/04/30,도로교통과,도로파손,가온동,홈페이지,50대,완료,2026/05/17,17,3,N,010-7063-4603,포트홀 발생
C00066,2025-10-10,환경관리과,공원 관리,다솜동,앱,60대 이상,완료,2025-10-18,8,3,N,010-6367-3406,시설물 파손
C00163,2025-11-03,도로교통과,불법주정차,바다동,국민신문고,40대,완료,2025-11-12,9,4,N,010-9427-8731,이면도로 상시 주차
C00607,2026/06/02,도로교통과,가로등 고장,다솜동,앱,40대,완료,2026/06/08,6,4,Y,010-2077-7329,야간 점등 불량
C00608,2026.06.08,주민생활지원과,기타,다솜동,홈페이지,50대,완료,2026.06.13,5,,N,010-7391-7766,기타 건의
C00146,2025.11.10,청소행정과,쓰레기 무단투기,다솜동,국민신문고,30대,처리중,,,,N,010-8760-4576,상습 투기 지점 방치
C00313,2026/02/02,환경관리과,소음,바다동,전화,20대 이하,완료,2026/02/08,6,,N,010-8215-9818,야간 공사 소음
C00122,2025-10-13,환경관리과,공원 관리,,국민신문고,60대 이상,완료,2025-10-18,5,4,Y,010-7145-3127,시설물 파손
C00353,2026-02-15,도로교통과,불법주정차,가온동,홈페이지,60대 이상,완료,2026-03-08,21,,Y,010-6539-8628,이면도로 상시 주차
C00006,2025.09.06,건축과,건축 인허가,나래동,방문,40대,완료,2025.09.16,10,,N,010-8799-4617,허가 처리 지연 문의
C00506,2026-05-25,도로교통과, 가로등 고장 ,나래동,전화,40대,완료,2026-05-31,6,4,N,010-3976-9245,야간 점등 불량
C00300,2026.01.12,청소행정과,쓰레기 무단투기,나래동,국민신문고,30대,완료,2026.01.19,7,,N,010-4663-5672,상습 투기 지점 방치
C00600,2026/06/17,환경관리과,악취,,전화,30대,완료,2026/06/22,5,5,Y,010-6619-2220,음식물 쓰레기 악취
C00282,2026-01-26,청소행정과,쓰레기 무단투기,마루동,전화,40대,완료,2026-02-03,8,,N,010-9485-7401,상습 투기 지점 방치
C00080,2025-10-10,청소행정과,쓰레기 무단투기,새벽동,방문,20대 이하,완료,2025-10-16,6,4,N,010-8300-7746,상습 투기 지점 방치
C00656,2026/07/13,건축과,건축 인허가,나래동,국민신문고,30대,완료,2026/08/04,22,2,Y,010-7521-3413,허가 처리 지연 문의
C00144,2025-11-16,도로교통과,불법주정차,새벽동,국민신문고,20대 이하,완료,2025-11-18,2,5,N,010-4176-7529,이면도로 상시 주차
C00307,2026.02.12,청소행정과,쓰레기 무단투기,바다동,국민신문고,20대 이하,완료,2026.02.13,1,5,N,010-3728-6700,상습 투기 지점 방치
C00391,2026.03.05,도로교통과,불법주정차,마루동,홈페이지,30대,완료,2026.03.14,9,4,N,010-4515-8168,이면도로 상시 주차
C00732,2026-08-21,청소행정과,쓰레기 무단투기,새벽동,앱,50대,처리중,,,,N,010-4977-4774,상습 투기 지점 방치
C00168,2025년 11월 26일,환경관리과,소음,나래동,전화,60대 이상,완료,2025년 12월 01일,5,,N,010-3061-2249,야간 공사 소음
C00408,2026-03-16,건축과,건축 인허가,마루동,전화,40대,완료,2026-04-02,17,4,N,010-9493-8889,허가 처리 지연 문의
C00405,2026.03.21,환경관리과,소음,새벽동,국민신문고,60대 이상,완료,2026.03.31,10,4,Y,010-9644-1238,야간 공사 소음
C00630,2026년 07월 18일,청소행정과,쓰레기 무단투기,가온동,앱,60대 이상,완료,2026년 07월 23일,5,,N,010-5906-9148,상습 투기 지점 방치
C00543,2026-05-09,청소행정과,쓰레기 무단투기,마루동,앱,40대,완료,2026-05-13,4,5,Y,010-9420-1877,상습 투기 지점 방치
C00584,2026-06-08,도로교통과,가로등 고장,바다동,방문,20대 이하,처리중,,,,N,010-9842-3874,야간 점등 불량
C00647,2026-07-23,환경관리과,소음,바다동,홈페이지,40대,완료,2026-07-28,5,5,Y,010-4623-6705,야간 공사 소음
C00381,2026-03-25,도로교통과,불법주정차,새벽동,국민신문고,20대 이하,처리중,,,,N,010-4855-9421,이면도로 상시 주차
C00613,2026-06-27,도로교통과,가로등 고장,가온동,전화,60대 이상,완료,2026-07-05,8,,N,010-7275-7273,야간 점등 불량
C00118,2025.10.03,청소행정과,쓰레기 무단투기,라온동,국민신문고,50대,보류,,,,N,010-3266-2481,상습 투기 지점 방치
C00544,2026/05/08,복지정책과, 복지 상담 ,새벽동,국민신문고,30대,보류,,,,N,010-4868-4585,지원금 신청 문의
C00480,2026-04-08,도로교통과,도로파손,바다동,국민신문고,30대,완료,2026-04-12,4,,N,010-5547-1144,포트홀 발생
C00143,2025-11-09,복지정책과,복지 상담,새벽동,방문,50대,완료,2025-11-12,3,5,N,010-9805-4103,지원금 신청 문의
C00521,2026-05-03,환경관리과,공원 관리,새벽동,국민신문고,30대,완료,2026-05-08,5,,N,010-7847-6723,시설물 파손
C00191,2025-12-20,도로교통과,불법주정차,새벽동,국민신문고,20대 이하,완료,2025-12-29,9,,N,010-2386-3049,이면도로 상시 주차
C00415,2026-03-11,복지정책과,복지 상담,나래동,앱,40대,완료,2026-03-20,9,3,N,010-9347-2013,지원금 신청 문의
C00096,2025/10/01,청소행정과, 쓰레기 무단투기 ,나래동,전화,30대,완료,2025/10/09,8,4,N,010-2272-7444,상습 투기 지점 방치
C00672,2026년 07월 06일,도로교통과,불법주정차,마루동,국민신문고,30대,완료,2026년 07월 14일,8,,N,010-6770-4193,이면도로 상시 주차
C00291,2026-01-11,환경관리과,소음,바다동,방문,60대 이상,완료,2026-01-13,2,5,N,010-9687-8706,야간 공사 소음
C00136,2025-11-19,청소행정과,쓰레기 무단투기,바다동,전화,30대,완료,2025-11-21,2,4,N,010-5914-7015,상습 투기 지점 방치
C00433,2026.04.01,환경관리과,소음,다솜동,국민신문고,60대 이상,완 료,2026.04.05,4,4,N,010-8066-6084,야간 공사 소음
C00471,2026-04-12,환경관리과,악취,새벽동,앱,50대,완료,2026-04-18,6,4,Y,010-7780-5726,음식물 쓰레기 악취
C00424,2026-03-29,청소행정과,쓰레기 무단투기,다솜동,방문,40대,보류,,,,N,010-5816-3948,상습 투기 지점 방치
C00617,2026-06-02,청소행정과,쓰레기 무단투기,마루동,홈페이지,20대 이하,완료,2026-06-11,9,3,N,010-9646-1014,상습 투기 지점 방치
C00583,2026-06-01,복지정책과,복지 상담,새벽동,국민신문고,40대,처리중,,,,N,010-7744-4577,지원금 신청 문의
C00640,2026-07-21,도로교통과,도로파손,바다동,국민신문고,60대 이상,완료,2026-08-03,13,3,N,010-6696-4081,포트홀 발생
C00522,2026-05-07,도로교통과,가로등 고장,다솜동,국민신문고,60대 이상,처리중,,,,N,010-7841-3045,야간 점등 불량
C00490,2026년 04월 09일,도로교통과,불법주정차,가온동,국민신문고,50대,완료,2026년 04월 17일,8,3,N,010-8495-3759,이면도로 상시 주차
C00284,2026-01-12,도로교통과,도로파손,라온동,국민신문고,20대 이하,완료,2026-01-21,9,5,Y,010-2361-9287,포트홀 발생
C00759,2026-08-02,복지정책과,복지 상담,마루동,전화,50대,완료,2026-08-05,3,,N,010-6939-4940,지원금 신청 문의
C00762,2026.08.03,환경관리과,악취,다솜동,방문,50대,보류,,,,N,010-7955-8660,음식물 쓰레기 악취
C00348,2026/02/17,환경관리과,공원 관리,다솜동,국민신문고,50대,완료,2026/02/23,6,4,N,010-8378-5276,시설물 파손
C00731,2026-08-24,환경관리과,소음,가온동,앱,60대 이상,완료,2026-09-06,13,3,N,010-8707-6115,야간 공사 소음
C00318,2026-02-22,복지정책과,복지 상담,다솜동,전화,50대,완료,2026-02-28,6,,N,010-4341-2430,지원금 신청 문의
C00325,2026-02-23,청소행정과,쓰레기 무단투기,가온동,방문,30대,완료,2026-03-05,10,4,Y,010-9532-1981,상습 투기 지점 방치
C00061,2025/09/25,청소행정과,쓰레기 무단투기,나래동,국민신문고,40대,완료,2025/09/30,5,5,N,010-7850-6848,상습 투기 지점 방치
C00513,2026-05-22,주민생활지원과,기타,나래동,국민신문고,50대,완료,2026-06-01,10,4,N,010-8923-9148,기타 건의
C00655,2026-07-18,환경관리과,악취,바다동,홈페이지,60대 이상,완료,2026-07-24,0,3,N,010-5736-9061,음식물 쓰레기 악취
C00536,2026-05-07,주민생활지원과,기타,새벽동,국민신문고,30대,완료,2026-05-19,12,3,Y,010-7272-2890,기타 건의
C00709,2026-08-11,주민생활지원과,기타,다솜동,국민신문고,40대,완료,2026-08-18,7,,N,010-4612-6298,기타 건의
C00070,2025년 10월 12일,청소행정과,쓰레기 무단투기,라온동,방문,20대 이하,처리중,,,,N,010-8831-7402,상습 투기 지점 방치
C00375,2026-03-15,주민생활지원과,기타,새벽동,방문,60대 이상,완료,2026-03-26,11,3,N,010-3435-4661,기타 건의
C00157,2025-11-04,청소행정과,쓰레기 무단투기,가온동,앱,60대 이상,완료,2025-11-07,3,,N,010-9703-7238,상습 투기 지점 방치
C00155,2025-11-24,환경관리과,소음,나래동,방문,30대,완료,2025-12-02,8,5,N,010-5546-4490,야간 공사 소음
C00470,2026-04-13,청소행정과,쓰레기 무단투기,가온동,국민신문고,60대 이상,완료,2026-05-02,19,,N,010-5765-2819,상습 투기 지점 방치
C00327,2026/02/24,청소행정과,쓰레기 무단투기,가온동,전화,50대,완료,2026/03/04,8,4,N,010-6692-6410,상습 투기 지점 방치
C00034,2025.09.30,복지정책과,복지 상담,나래동,전화,40대,완료,2025.10.05,5,4,N,010-9966-1590,지원금 신청 문의
C00031,2025-09-07,청소행정과,쓰레기 무단투기,라온동,국민신문고,40대,완료,2025-09-12,,5,N,010-6380-2387,상습 투기 지점 방치
C00178,2025-11-05,도로교통과,도로파손,라온동,국민신문고,30대,보류,,,,N,010-8712-2753,포트홀 발생
C00267,2026-01-10,환경관리과, 공원 관리 ,바다동,국민신문고,30대,완료,2026-01-21,11,,N,010-4936-4505,시설물 파손
C00033,2025/09/08,도로교통과,불법주정차,가온동,국민신문고,30대,완료,2025/09/18,10,,N,010-6559-3770,이면도로 상시 주차
C00126,2025년 11월 22일,복지정책과,복지 상담,마루동,앱,60대 이상,완료,2025년 11월 25일,3,5,N,010-4169-8015,지원금 신청 문의
C00190,2025-12-04,도로교통과,가로등 고장,나래동,전화,40대,완료,2025-12-16,12,,N,010-9203-1863,야간 점등 불량
C00368,2026-02-06,건축과,건축 인허가,바다동,앱,40대,완료,2026-02-11,5,5,N,010-7933-3111,허가 처리 지연 문의
C00675,2026-07-20,건축과,건축 인허가,바다동,전화,60대 이상,완료,2026-08-03,14,,Y,010-3259-4960,허가 처리 지연 문의
C00004,2025-09-24,복지정책과,복지 상담,,전화,20대 이하,완료,2025-09-30,6,4,N,010-3730-3958,지원금 신청 문의
C00733,2026/08/31,청소행정과,쓰레기 무단투기,라온동,전화,60대 이상,완료,2026/09/06,6,,N,010-4563-1448,상습 투기 지점 방치
C00589,2026-06-12,건축과,건축 인허가,다솜동,앱,40대,완료,2026-06-26,14,2,N,010-2407-2853,허가 처리 지연 문의
C00418,2026/03/06,환경관리과,악취,라온동,국민신문고,20대 이하,완료,2026/03/15,9,4,N,010-3796-6466,음식물 쓰레기 악취
C00186,2025-11-11,도로교통과,가로등 고장,라온동,앱,30대,완료,2025-11-14,3,,N,010-4335-3261,야간 점등 불량
C00466,2026-04-07,도로교통과,가로등 고장,다솜동,방문,30대,완료,2026-04-16,9,3,Y,010-2094-8671,야간 점등 불량
C00278,2026/01/11,도로교통과,불법주정차,라온동,국민신문고,50대,완료,2026/01/13,2,4,N,010-7793-4944,이면도로 상시 주차
C00053,2025-09-29,환경관리과,공원 관리,새벽동,국민신문고,50대,완료,2025-10-05,6,,N,010-2765-5565,시설물 파손
C00645,2026-07-22,청소행정과,쓰레기 무단투기,새벽동,홈페이지,30대,완료,2026-07-28,6,,N,010-4127-5058,상습 투기 지점 방치
C00590,2026-06-04,도로교통과,도로파손,새벽동,국민신문고,60대 이상,완료,2026-06-10,6,,N,010-4551-3892,포트홀 발생
C00485,2026-04-15,도로교통과,불법주정차,다솜동,앱,40대,보류,,,,N,010-5881-1843,이면도로 상시 주차
C00203,2025년 12월 29일,건축과,건축 인허가,바다동,국민신문고,40대,완료,2026년 01월 13일,15,,N,010-6261-2082,허가 처리 지연 문의
C00729,2026-08-08,환경관리과,소음,바다동,국민신문고,30대,완료,2026-08-13,5,5,Y,010-8008-1241,야간 공사 소음
C00162,2025-11-16,환경관리과,악취,마루동,전화,30대,보류,,,,N,010-9735-3758,음식물 쓰레기 악취
C00753,2026-08-07,복지정책과, 복지 상담 ,나래동,전화,30대,완료,2026-08-08,1,5,N,010-4161-4856,지원금 신청 문의
C00295,2026-01-26,도로교통과,도로파손,나래동,국민신문고,40대,완료,2026-02-06,11,3,N,010-5399-7387,포트홀 발생
C00277,2026-01-28,도로교통과,불법주정차,가온동,국민신문고,30대,완료,2026-02-03,6,5,N,010-6326-7191,이면도로 상시 주차
C00486,2026-04-23,도로교통과,가로등 고장,새벽동,국민신문고,50대,보류,,,,N,010-7746-3438,야간 점등 불량
C00487,2026-04-11,환경관리과,악취,새벽동,국민신문고,30대,완료,2026-04-17,,4,Y,010-3977-6600,음식물 쓰레기 악취
C00468,2026.04.28,환경관리과,공원 관리,,국민신문고,30대,완료,2026.05.13,15,2,N,010-9442-5021,시설물 파손
C00465,2026-04-15,도로교통과,불법주정차,마루동,앱,30대,완료,2026-04-18,3,4,N,010-9149-1321,이면도로 상시 주차
C00682,2026-07-28,도로교통과,가로등 고장,가온동,국민신문고,20대 이하,처리중,,,,N,010-7105-8429,야간 점등 불량
C00548,2026-05-29,도로교통과, 도로파손 ,새벽동,국민신문고,30대,완료,2026-06-01,-3,,N,010-7043-9406,포트홀 발생
C00175,2025년 11월 17일,환경관리과,공원 관리,다솜동,국민신문고,30대,완료,2025년 11월 21일,4,4,N,010-9141-1763,시설물 파손
C00092,2025-10-14,도로교통과,불법주정차,,앱,60대 이상,완료,2025-10-24,10,,N,010-4637-9661,이면도로 상시 주차
C00303,2026-01-16,도로교통과,도로파손,라온동,전화,40대,완료,2026-01-20,4,5,N,010-2647-4638,포트홀 발생
C00382,2026-03-10,청소행정과,쓰레기 무단투기,나래동,앱,30대,완료,2026-03-12,2,5,N,010-6905-5234,상습 투기 지점 방치
C00662,2026-07-17,건축과,건축 인허가,바다동,국민신문고,40대,완료,2026-08-05,19,2,N,010-7092-9927,허가 처리 지연 문의
C00633,2026-07-02,청소행정과,쓰레기 무단투기,나래동,국민신문고,30대,완료,2026-07-12,10,4,N,010-3762-6659,상습 투기 지점 방치
C00347,2026-02-28,도로교통과,불법주정차,바다동,국민신문고,30대,완료,2026-03-09,9,4,N,010-8559-3266,이면도로 상시 주차
C00210,2025년 12월 04일,복지정책과,복지 상담,나래동,앱,50대,완료,2025년 12월 06일,2,,Y,010-9458-5014,지원금 신청 문의
C00582,2026-06-03,건축과,건축 인허가,바다동,방문,60대 이상,완료,2026-06-13,10,3,N,010-6969-9756,허가 처리 지연 문의
C00558,2026/05/31,도로교통과, 불법주정차 ,라온동,전화,50대,완료,2026/06/07,7,4,N,010-9786-9908,이면도로 상시 주차
C00027,2025.09.22,환경관리과,소음,가온동,홈페이지,30대,처리중,,,,N,010-2789-4123,야간 공사 소음
C00264,2026/01/27,주민생활지원과,기타,바다동,전화,30대,보류,,,,N,010-4467-5268,기타 건의
C00755,2026.08.31,건축과,건축 인허가,마루동,전화,30대,완료,2026.09.10,10,3,Y,010-2117-5004,허가 처리 지연 문의
C93092,2025-10-18,,공원 관리,가온동,전화,30대,완료,2025-10-29,11,4,N,010-2764-8957,시설물 파손
C00452,2026-04-01,,소음,라온동,방문,20대 이하,완료,2026-04-12,11,5,N,010-6210-2996,야간 공사 소음
C00207,2025-12-29,청소행정과,쓰레기 무단투기,가온동,앱,40대,완료,2026-01-10,12,4,N,010-4812-4631,상습 투기 지점 방치
